Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 3	1	139.062666139	139.834182064	0.0	224.5
2	Spectrogram 3	1	162.109698965	162.801900169	0.0	91.8
3	Spectrogram 3	1	194.436976586	195.367121954	0.0	4000.0
4	Spectrogram 3	1	299.815510580	300.426268277	0.0	4000.0
5	Spectrogram 3	1	300.541635145	301.760197680	0.0	4000.0
6	Spectrogram 3	1	319.925961636	320.639794127	0.0	4000.0
7	Spectrogram 3	1	331.513881672	332.285397596	0.0	4000.0
8	Spectrogram 3	1	340.068009199	341.055838000	0.0	4000.0
9	Spectrogram 3	1	341.257730018	342.296031823	4.4	4000.0
10	Spectrogram 3	1	374.764644168	376.112994429	0.0	4000.0
11	Spectrogram 3	1	384.784118845	385.570055628	0.0	4000.0
12	Spectrogram 3	1	393.233193656	393.990288722	0.0	4000.0
13	Spectrogram 3	1	409.629724361	410.394029857	0.0	4000.0
14	Spectrogram 3	1	419.416627658	420.274668734	0.0	4000.0
15	Spectrogram 3	1	431.322000311	432.100726665	2.0	142.9
16	Spectrogram 3	1	440.116769104	440.902705887	0.0	85.4
17	Spectrogram 3	1	445.260879824	445.931449740	0.0	4000.0
18	Spectrogram 3	1	458.360372715	459.160730357	0.0	4000.0
19	Spectrogram 3	1	476.217702662	477.020061888	0.0	4000.0
20	Spectrogram 3	1	478.087205411	478.880352623	0.0	4000.0
21	Spectrogram 3	1	507.155674795	508.193976601	0.0	4000.0
22	Spectrogram 3	1	521.086777363	522.132289598	0.0	4000.0
23	Spectrogram 3	1	523.134539257	523.949317757	0.0	139.9
24	Spectrogram 3	1	533.837978870	534.551811361	0.0	4000.0
25	Spectrogram 3	1	541.386636220	542.078837424	0.0	4000.0
26	Spectrogram 3	1	547.528052096	548.984558795	2.9	4000.0
27	Spectrogram 3	1	557.389811363	558.211800292	0.0	4000.0
28	Spectrogram 3	1	582.836034460	583.621971243	0.0	4000.0
29	Spectrogram 3	1	583.910388411	584.790060774	0.0	4000.0
30	Spectrogram 3	1	590.741310625	591.671455992	0.0	4000.0
31	Spectrogram 3	1	592.450182346	593.502905010	0.0	4000.0
32	Spectrogram 3	1	596.087188260	597.096648349	0.0	4000.0
33	Spectrogram 3	1	207.703532398	208.785096779	20.8	64.6
34	Spectrogram 3	1	225.323478432	226.397832383	0.0	660.0
35	Spectrogram 3	1	276.380533003	277.743304122	0.0	244.5
36	Spectrogram 3	1	279.054558885	280.157754553	0.0	275.5
